Label,Min RR,Max RR,AVG RR,Median RR,Skew RR,Kurtosis RR,Min PR,Max PR,AVG PR,Median PR,Skew PR,Kurtosis PR,Min QT,Max QT,AVG QT,Median QT,Skew QT,Kurtosis QT,Min QRS,Max QRS,AVG QRS,Median QRS,Skew QRS,Kurtosis QRS
R,202,479,368.89473684210526,423.0,-0.7084351289371217,-1.3012648790670427,62,141,86.94736842105263,84.0,1.2961060955001666,0.5874166744100431,64,119,99.10526315789474,106.0,-0.5109768350938948,-0.9951339621011281,0.06944444444444445,0.21944444444444444,0.10043859649122805,0.08055555555555556,1.8009159176968004,3.2493292065872037
R,134,443,307.77272727272725,267.5,0.13097913040027853,-1.6869036511294833,58,72,62.30434782608695,62.0,1.4904162881479242,2.900507608360412,58,107,83.18181818181819,83.0,-0.2344725211246839,-0.07473278689248142,0.03333333333333333,0.16666666666666666,0.1060606060606061,0.12777777777777777,-0.2380393151016228,-1.301307507159086
R,432,455,446.26666666666665,448.0,-0.899133198370961,-0.2178073272316543,63,97,79.33333333333333,85.0,-0.004339375400683562,-1.6505095441546536,80,119,102.66666666666667,112.0,-0.42773900759758804,-1.5897987062209469,0.06944444444444445,0.08333333333333333,0.07574074074074075,0.075,0.06683431352492519,-0.87496284185494
R,189,457,288.7916666666667,241.5,0.7639842034790035,-1.1892658293773621,48,97,55.8,50.0,2.1394099662073423,4.7282388276706495,57,99,80.04166666666667,82.0,-0.5713389080279833,-0.17382043503484512,0.041666666666666664,0.15555555555555556,0.10092592592592593,0.09305555555555556,0.03515305482330276,-1.3511766019794496
R,214,505,390.70588235294116,433.0,-1.1057492542324294,-0.48166116733415265,62,145,82.22222222222223,77.5,1.659627129894902,1.9343614515232312,82,121,99.29411764705883,91.0,0.2325050036892234,-1.6143533066082576,0.07222222222222222,0.19444444444444445,0.1065359477124183,0.08055555555555556,0.9651218868400332,-0.32432276975557706
R,421,464,446.3333333333333,448.0,-0.6935973364351851,-0.10695490377346939,64,97,81.4,89.0,-0.24914629895612317,-1.7000668494501359,80,120,103.26666666666667,111.0,-0.4280064737317645,-1.5386661025021053,0.06944444444444445,0.08333333333333333,0.07629629629629629,0.075,0.0753313100116904,-0.3615073854311368
R,203,449,341.5,420.5,-0.2735697025531669,-1.8298616171523954,63,143,90.04761904761905,84.0,0.9061517184503445,-0.7361713918227584,78,117,95.95,90.0,0.5032230067439569,-1.190917278168016,0.06944444444444445,0.14166666666666666,0.09999999999999999,0.08472222222222223,0.41397076259248083,-1.6292644355536323
R,123,446,414.5882352941176,433.0,-3.6447707106459157,11.56959443771611,63,95,78.76470588235294,81.0,-0.05529713999248603,-1.5283179537566383,80,139,103.76470588235294,104.0,0.2851759513722653,-1.2557953170262408,0.06944444444444445,0.2861111111111111,0.08709150326797385,0.075,3.7204052760361943,11.922784232004195
R,203,440,305.04545454545456,233.0,0.3146032941216945,-1.8280014795258197,46,71,54.52173913043478,51.0,0.6605529538360011,-0.8065104824970755,58,108,83.5909090909091,85.0,-0.13982506708085368,1.0185047213332714,0.03888888888888889,0.15833333333333333,0.10151515151515154,0.07916666666666666,0.17374147045183053,-1.4507969287972942
R,285,447,426.875,434.5,-3.3918313101975377,10.080278125983698,61,134,77.05882352941177,66.0,1.6428348497816607,2.2846025555428806,80,115,96.625,93.5,0.09360635596024776,-1.8561884230767958,0.06666666666666667,0.1638888888888889,0.07916666666666666,0.075,3.5048582795470136,10.586558180570533
